title,score,year
Koukyoushihen Eureka Seven,8.05,2005.0
Rekka no Honoo,7.33,1997.0
Gankutsuou,8.11,2004.0
Genshiken,7.63,2004.0
Girls Bravo: First Season,6.35,2004.0
Gokusen,7.42,2004.0
Gravitation,6.89,2000.0
Agatha Christie no Meitantei Poirot to Marple,6.88,2004.0
Great Teacher Onizuka,8.68,1999.0
Groove Adventure Rave,7.2,2001.0
Harukanaru Toki no Naka de: Hachiyou Shou,6.99,2004.0
Ichigo 100%,6.61,2005.0
InuYasha,7.87,2000.0
Konjiki no Gash Bell!!,7.55,2003.0
Kyou kara Maou!,7.61,2004.0
Madlax,7.01,2004.0
Jungle wa Itsumo Hare nochi Guu,7.8,2001.0
Ikkitousen,6.37,2003.0
Happy☆Lesson (TV),6.6,2002.0
Happy☆Lesson Advance,6.76,2003.0
Hajime no Ippo,8.78,2000.0
Gunparade March: Arata Naru Kougunka,6.69,2003.0
Gungrave,7.81,2003.0
Bleach,7.98,2004.0
Hellsing,7.5,2001.0
Gad Guard,6.63,2003.0
Noir,7.27,2001.0
Mahoutsukai ni Taisetsu na Koto,6.68,2003.0
Kiddy Grade,7.16,2002.0
Love♥Love?,5.83,2004.0
Mahoromatic: Automatic Maiden,7.13,2001.0
Mahoromatic: Motto Utsukushii Mono,7.12,2002.0
Viewtiful Joe,6.76,2004.0
Kyougoku Natsuhiko: Kousetsu Hyaku Monogatari,7.06,2003.0
Animal Yokochou,7.02,2005.0
Angel Heart,7.24,2005.0
Akage no Anne,7.86,1979.0
Area 88 (TV),6.98,2004.0
Argento Soma,6.74,2000.0
B'T X,7.01,1996.0
Grappler Baki (TV),7.45,2001.0
Bakuten Shoot Beyblade,6.8,2001.0
Comic Party,6.56,2001.0
Seikai no Monshou,7.62,1999.0
D.C.S.S: Da Capo Second Season,6.92,2005.0
Dear Boys,6.76,2003.0
Di Gi Charat,6.83,1999.0
Divergence Eve,5.9,2003.0
Divergence Eve 2: Misaki Chronicles,6.28,2004.0
Dragon Drive,6.69,2002.0
Grenadier: Hohoemi no Senshi,6.67,2004.0
.hack//Tasogare no Udewa Densetsu,6.55,2003.0
Cinderella Boy,6.31,2003.0
Mirai Shounen Conan,8.09,1978.0
Aa! Megami-sama!: Chichaitte Koto wa Benri da ne,6.87,1998.0
Abenobashi Mahou☆Shoutengai,7.21,2002.0
Kerokko Demetan,6.05,1973.0
Zettai Shounen,6.86,2005.0
Akahori Gedou Hour Rabuge,6.09,2005.0
"Chiisana Obake: Acchi, Kocchi, Socchi",6.09,1991.0
Ace wo Nerae!,7.09,1973.0
Hand Maid May,6.68,2000.0
Najica Dengeki Sakusen,5.96,2001.0
Paradise Kiss,7.88,2005.0
Mousou Dairinin,7.66,2004.0
Kidou Keisatsu Patlabor: On Television,7.69,1989.0
Peach Girl,6.92,2005.0
Petshop of Horrors,7.24,1999.0
Puchi Pri*Yucie,7.4,2002.0
Piano,5.98,2002.0
Planetes,8.24,2003.0
Midori no Hibi,7.21,2004.0
Mahoujin Guruguru,7.58,1994.0
Dokidoki♡Densetsu: Mahoujin Guruguru,7.11,2000.0
Mama wa Shougaku 4-nensei,7.33,1992.0
Marmalade Boy,7.41,1994.0
Matantei Loki Ragnarok,7.24,2003.0
Ginyuu Mokushiroku Meine Liebe,6.43,2004.0
Psychic Academy,6.18,2002.0
Versailles no Bara,8.35,1979.0
Serial Experiments Lain,8.1,1998.0
Mutsu Enmei Ryuu Gaiden: Shura no Toki,7.54,2004.0
Spiral: Suiri no Kizuna,7.2,2002.0
Starship Operators,6.92,2005.0
Tsukuyomi: Moon Phase,6.92,2004.0
Futatsu no Spica,7.34,2003.0
Eikoku Koi Monogatari Emma,7.61,2005.0
W: Wish,6.11,2004.0
Wild Arms: Twilight Venom,6.62,1999.0
Binzume Yousei,6.44,2003.0
Magical Canan,6.06,2005.0
Ojamajo Doremi,7.34,1999.0
Ojamajo Doremi Sharp,7.47,2000.0
Motto! Ojamajo Doremi,7.47,2001.0
Ojamajo Doremi Dokkaan!,7.74,2002.0
UG☆Ultimate Girls,5.59,2005.0
Shakugan no Shana,7.44,2005.0
Fate/stay night,7.27,2006.0
Himiko-den,6.13,1999.0
Gallery Fake,7.4,2005.0
Boogiepop wa Warawanai,7.15,2000.0
Burn Up Excess,6.53,1998.0
Bannou Bunka Neko-Musume (1998),6.5,1998.0
Heppoko Jikken Animation Excel♥Saga,7.48,1999.0
Galaxy Angel,7.01,2001.0
Gantz,6.97,2004.0
Gilgamesh,6.59,2003.0
H2,7.23,1995.0
Haibane Renmei,7.99,2002.0
Capeta,7.82,2005.0
Suzuka,7.16,2005.0
Yuu☆Yuu☆Hakusho,8.46,1992.0
Ai Yori Aoshi: Enishi,7.11,2003.0
Gantz 2nd Stage,7.01,2004.0
Seikai no Senki,7.64,2000.0
Seikai no Senki II,7.77,2001.0
Seihou Bukyou Outlaw Star,7.83,1998.0
Hanaukyou Maid-tai,6.56,2001.0
Buzzer Beater,6.49,2005.0
Tantei Gakuen Q,7.73,2003.0
Gun x Sword,7.24,2005.0
Kore ga Watashi no Goshujinsama,6.51,2005.0
Ragnarök The Animation,6.45,2004.0
Samurai Deeper Kyou,6.88,2002.0
Stratos 4,6.62,2003.0
Dirty Pair,7.22,1985.0
Kaleido Star,7.9,2003.0
Magic Knight Rayearth,7.45,1994.0
Shoujo Kakumei Utena,8.23,1997.0
Maria-sama ga Miteru: Haru,7.61,2004.0
Tales of Eternia The Animation,6.18,2001.0
Weiß Kreuz Glühen,6.51,2002.0
