title,score,year
Groizer X,6.14,1976.0
Let's Nupu Nupu,6.18,1998.0
Karaoke Senshi Mike-tarou,6.72,1994.0
Taishou Yakyuu Musume.,7.33,2009.0
Tokusou Kihei Dorvack,6.19,1983.0
Hatsukoi Limited.,7.25,2009.0
Kikou Kai Galient,6.47,1984.0
Genji Monogatari Sennenki,6.83,2009.0
Minami-ke Okaeri,7.54,2009.0
Negibouzu no Asatarou,,2008.0
Chou Tokkyuu Hikarian,6.15,1997.0
Dragon League,7.0,1993.0
Offside (TV),7.08,2001.0
Salad Juu Yuushi Tomatoman,6.41,1992.0
Shin Maple Town Monogatari: Palm Town-hen,6.87,1987.0
Goal FH: Field Hunter,6.83,1994.0
Shangri-La,7.05,2009.0
Robotan (1986),6.23,1986.0
Souten Kouro,7.19,2009.0
Inazuma Eleven,7.76,2008.0
Slayers Evolution-R,7.37,2009.0
Zettai Yareru Greece Shinwa,5.84,2008.0
Live On Cardliver Kakeru,6.26,2008.0
Mitsume ga Tooru,6.91,1990.0
God Mazinger,6.21,1984.0
Hajime no Ippo: New Challenger,8.67,2009.0
Shugo Chara!! Doki,7.42,2008.0
Gamba no Bouken,7.22,1975.0
Miracle Giants Doumu-kun,7.21,1989.0
Magical★Taruruuto-kun,6.87,1990.0
Happy Happy Clover,6.34,2007.0
Sekirei: Pure Engagement,7.25,2010.0
Totsugeki! Pappara-tai,6.17,1998.0
Ippatsu Kanta-kun,6.04,1977.0
Getter Robo Go,6.27,1991.0
Zoku Natsume Yuujinchou,8.53,2009.0
Akiba-chan,5.45,2008.0
Sora wo Kakeru Shoujo,6.97,2009.0
Astroganger,6.41,1972.0
Bakugan Battle Brawlers: New Vestroia,6.58,2010.0
Ookami to Koushinryou II,8.3,2009.0
Asura Cryin',6.88,2009.0
Monkey Punch: Manga Katsudou Daishashin,6.74,2004.0
Time Bokan Series: Itadakiman,5.8,1983.0
Sengoku Basara,7.31,2009.0
Canaan,7.2,2009.0
Miracle! Mimika,,2006.0
Gakkyuu Ou Yamazaki,6.11,1997.0
Nekketsu Saikyou Go-Saurer,7.1,1993.0
Usavich III,7.04,2008.0
Kemono no Souja Erin,8.29,2009.0
Ougon Yuusha Goldran,6.99,1995.0
Yoku Wakaru Gendai Mahou,6.42,2009.0
Yattokame Tanteidan,,2007.0
Tsuri Baka Nisshi,,2002.0
Yobarete Tobidete Akubi-chan,5.73,2002.0
Time Bokan 2000: Kaitou Kiramekiman,5.89,2000.0
Fushigi na Melmo,6.14,1971.0
Gozonji! Gekkou Kamen-kun,6.17,1999.0
Bikkuriman 2000,5.86,1999.0
Shin Mazinger Shougeki! Z-hen,7.64,2009.0
Konnichiwa Anne: Before Green Gables,7.65,2009.0
Shinkyoku Soukai Polyphonica Crimson S,7.1,2009.0
Viper's Creed,6.67,2009.0
Senjou no Valkyria,7.56,2009.0
Onegai My Melody Sukkiri♪,6.94,2007.0
07-Ghost,7.18,2009.0
Pandora Hearts,7.64,2009.0
Hai! Akko desu,6.67,1988.0
Fuusen no Doratarou,,1981.0
Natsu no Arashi!,7.22,2009.0
Little El Cid no Bouken,6.29,1984.0
Dokonjou Gaeru,6.48,1972.0
21 Emon,6.15,1991.0
Higashi no Eden,7.73,2009.0
Restol: Teugsu Gujo Dae,5.92,1999.0
Great Mazinger,7.05,1974.0
GA: Geijutsuka Art Design Class,7.13,2009.0
Saki,7.45,2009.0
Basquash!,7.18,2009.0
Kobato.,7.94,2009.0
K-On!,7.87,2009.0
Phantom: Requiem for the Phantom,7.91,2009.0
Fresh Precure!,7.39,2009.0
Gegege no Kitarou (1968),6.76,1968.0
Nodame Cantabile Finale,8.22,2010.0
Sora wo Miageru Shoujo no Hitomi ni Utsuru Sekai,7.06,2009.0
Tanoshii Muumin Ikka Bouken Nikki,7.51,1991.0
Kodai Ouja Kyouryuu King: Yokuryuu Densetsu,6.59,2008.0
Tayutama: Kiss on My Deity,6.7,2009.0
Dororo to Hyakkimaru,7.27,1969.0
Uchuu Kuubo Blue Noah,6.48,1979.0
Kupu~!! Mamegoma!,,2009.0
Sakuran Boy DT,,2009.0
Zenmai Zamurai,5.85,2006.0
Blocker Gundan IV Machine Blaster,5.8,1976.0
Tsurupika Hagemaru-kun,7.01,1988.0
Tiger Mask Nisei,7.31,1981.0
Tondemo Senshi Muteking,6.24,1980.0
Kyojin no Hoshi,6.91,1968.0
Hanasakeru Seishounen,7.68,2009.0
Yume wo Kanaeru Zou,,2009.0
Shin Chou Kyou Ryo: Condor Hero III,7.2,2008.0
Examurai Sengoku,6.2,2009.0
Kujira no Josephina,6.1,1979.0
Kousoku Denjin Albegus,6.78,1983.0
Chinpui,6.39,1989.0
Seitokai no Ichizon,7.3,2009.0
Kanamemo,6.82,2009.0
Animation Kikou: Marco Polo no Bouken,6.14,1979.0
Onegai♪My Melody Kirara★,6.52,2008.0
Seiken no Blacksmith,6.63,2009.0
Cross Game,8.36,2009.0
Element Hunters,6.59,2009.0
Mahou no Princess Minky Momo: Yume wo Dakishimete,6.88,1991.0
Sora no Otoshimono,7.22,2009.0
Metal Fight Beyblade,6.94,2009.0
Kinnikuman II Sei: Ultimate Muscle,6.94,2004.0
Kinnikuman II Sei: Ultimate Muscle 2,6.97,2006.0
Fight Ippatsu! Juuden-chan!!,6.59,2009.0
Higepiyo,7.06,2009.0
Ristorante Paradiso,7.29,2009.0
Tsuyoshi Shikkari Shinasai,6.88,1992.0
Sabu to Ichi Torimono Hikae,6.56,1968.0
Jewelpet,6.81,2009.0
Kinpatsu no Jeanie,5.95,1979.0
Nogizaka Haruka no Himitsu Purezza ♪,7.16,2009.0
Chi's Sweet Home: Atarashii Ouchi,7.71,2009.0
Needless,7.2,2009.0
Dragon Ball Kai,7.77,2009.0
Kimi ni Todoke,8.01,2009.0
F,6.77,1988.0
Sasuke,6.71,1968.0
Moeru! Oniisan,6.44,1988.0
Gregory Horror Show,6.64,1999.0
Ai no Wakakusa Yama Monogatari,5.73,1999.0
Akubi Girl,5.63,2006.0
Jetter Mars,6.24,1977.0
Anmitsu Hime,6.6,1986.0
Sora no Manimani,7.04,2009.0
Shin Koihime†Musou,6.77,2009.0
Rainbow: Nisha Rokubou no Shichinin,8.46,2010.0
Mainichi Kaasan,7.2,2009.0
Gokujou!! Mecha Mote Iinchou,6.35,2009.0
Cookin' Idol Ai! Mai! Main!,6.27,2009.0
Umi Monogatari: Anata ga Ite Kureta Koto,6.6,2009.0
Marie & Gali,6.37,2009.0
Charady no Joke na Mainichi,5.18,2009.0
Chibi Maruko-chan (1995),7.38,1995.0
Aoi Hana,7.08,2009.0
White Album 2nd Season,6.74,2009.0
Asobi ni Iku yo!,6.56,2010.0
Rita to Nantoka,6.04,2010.0
Princess Lover!,6.66,2009.0
Sasameki Koto,7.05,2009.0
Kämpfer,6.35,2009.0
Tokyo Magnitude 8.0,8.0,2009.0
Toaru Kagaku no Railgun,7.65,2009.0
Koguma no Misha,6.06,1979.0
Manga Sekai Mukashibanashi,7.0,1976.0
Manga Nippon Mukashibanashi (1976),6.15,1976.0
Perman,6.6,1967.0
Sarutobi Ecchan,5.93,1971.0
Omamori Himari,6.81,2010.0
Baka to Test to Shoukanjuu,7.5,2010.0
Kagaku Ninja-tai Gatchaman II,6.44,1978.0
Kagaku Ninja-tai Gatchaman F,6.5,1979.0
Zan Sayonara Zetsubou Sensei,7.86,2009.0
Strike Witches 2,7.28,2010.0
Chargeman Ken!,4.48,1974.0
Tentoumushi no Uta,6.24,1974.0
Weiß Survive,6.0,2009.0
Psychoarmor Govarian,6.09,1983.0
Tegamibachi,7.59,2009.0
Yuusei Shounen Papii,5.36,1965.0
Akuu Daisakusen Srungle,6.14,1983.0
Tensai Bakabon,6.34,1971.0
Gakkou no Kowai Uwasa: Hanako-san ga Kita!!,6.34,1994.0
Sugar Bunnies Fleur,6.0,2009.0
Sugar Bunnies Chocolate!,6.05,2008.0
Seikon no Qwaser,6.31,2010.0
Kiteretsu Daihyakka,6.89,1988.0
Chou Seimeitai Transformers Beast Wars Neo,6.43,1999.0
Nyan Koi!,7.11,2009.0
Anime TV de Hakken! Tamagotchi,6.13,1997.0
Porong Porong Pororo,6.06,2003.0
Peeping Life,5.12,2009.0
Angel Beats!,8.05,2010.0
Popee the Performer,7.26,2000.0
Koume-chan ga Iku!,5.74,1999.0
Darker than Black: Ryuusei no Gemini,7.42,2009.0
Hanamaru Youchien,7.25,2010.0
Tentai Senshi Sunred 2nd Season,7.83,2009.0
Super Bikkuriman,6.21,1992.0
Yume-iro Pâtissière,7.85,2009.0
Katanagatari,8.29,2010.0
Kuruneko,7.17,2009.0
Pucca (TV),6.74,2006.0
Nono-chan,6.08,2001.0
Asari-chan,6.13,1982.0
Queen's Blade: Gyokuza wo Tsugu Mono,6.52,2009.0
Sengoku Basara Ni,7.48,2010.0
Chou Kousoku Galvion,5.83,1984.0
Chuu Bra!!,6.19,2010.0
Unko-san: Tsuiteru Hito ni Shika Mienai Yousei,4.77,2009.0
Video Senshi Lezarion,6.51,1984.0
Reporter Blues,6.49,1991.0
Asura Cryin' 2,7.23,2009.0
11eyes,6.03,2009.0
Jim Button,6.2,1974.0
Fairy Tail,7.57,2009.0
Kuroshitsuji II,7.12,2010.0
Natsu no Arashi! Akinaichuu,7.25,2009.0
Mechakko Dotakon,5.85,1981.0
Tonde Mon Pe,6.37,1982.0
Ultraman Kids no Kotowaza Monogatari,5.93,1986.0
Durarara!!,8.09,2010.0
Dance in the Vampire Bund,6.96,2010.0
Tatakau Shisho: The Book of Bantorra,7.18,2009.0
Dorimogu Daa!!,6.23,1986.0
Shakugan no Shana III (Final),7.5,2011.0
Kuuchuu Buranko,7.89,2009.0
Pokonyan!,6.83,1993.0
Saa Ikou! Tamagotchi,5.71,2007.0
So Ra No Wo To,7.53,2010.0
InuYasha: Kanketsu-hen,8.2,2009.0
Ukkari Pénélope (2009),6.07,2009.0
Wansa-kun,5.95,1973.0
Iron Man,6.04,2010.0
Deadman Wonderland,7.13,2011.0
Time Bokan Series: Zenderman,5.84,1979.0
Hakuouki,7.35,2010.0
Stitch! Itazura Alien no Daibouken,6.16,2009.0
Tamagotchi!,6.37,2009.0
Battle Spirits: Shounen Gekiha Dan,6.96,2009.0
Saikyou Bushouden: Sangoku Engi,6.82,2010.0
Tsuideni Tonchinkan,6.39,1987.0
Wolverine,6.02,2011.0
X-Men,6.31,2011.0
Blade,6.22,2011.0
Uchurei!,5.5,2009.0
Working!!,7.64,2010.0
Choujin Sentai Baratack,6.19,1977.0
Gegege no Kitarou (1971),6.54,1971.0
Senkou no Night Raid,6.81,2010.0
Seikimatsu Occult Gakuin,7.03,2010.0
Shukufuku no Campanella,6.26,2010.0
Kaidan Restaurant,7.23,2009.0
Super Zugan,6.34,1992.0
Uchuu Ace,5.83,1965.0
Shin Calimero,6.21,1992.0
Crush Gear Nitro,6.14,2003.0
Kaichou wa Maid-sama!,7.99,2010.0
Uragiri wa Boku no Namae wo Shitteiru,7.19,2010.0
Hidamari Sketch x ☆☆☆,7.9,2010.0
Ookamikakushi,6.29,2010.0
Danball Senki,7.02,2011.0
Shugo Chara! Party!,6.67,2009.0
Ichiban Ushiro no Daimaou,6.7,2010.0
Miracle☆Train: Oedo-sen e Youkoso,6.45,2009.0
Ougon Senshi Gold Lightan,6.06,1981.0
Gyouten Ningen Batsealer,6.44,2001.0
Ladies versus Butlers!,6.53,2010.0
Anyamal Tantei Kiruminzoo,7.15,2009.0
Yoroshiku Mechadock,6.66,1984.0
Himitsukessha Taka no Tsume Countdown,5.67,2009.0
Cheburashka Arere?,6.42,2009.0
Gokyoudai Monogatari,,2009.0
Kotatsu Neko (TV),,2009.0
Aoi Bungaku Series,7.65,2009.0
Rose O'Neill Kewpie,,2010.0
Sekai Meisaku Douwa: Wow! Maerchen Oukoku,6.55,1995.0
Naked Wolves,5.63,2009.0
Gegege no Kitarou (1985),6.58,1985.0
Bakugan Battle Brawlers: Gundalian Invaders,6.37,2011.0
Card Wang: Mix Master,6.42,2005.0
Jankenman,6.31,1991.0
Wrestler Gundan Seisenshi Robin Jr.,,1989.0
Pacusi,5.28,1994.0
Mini Moni Yaru no da Pyon!,4.97,2001.0
Weiß Survive R,5.97,2010.0
Karate Baka Ichidai,6.63,1973.0
Taichi Senjimon,6.36,2007.0
Kick Off 2002,,2002.0
Gowapper 5 Gordam,6.06,1976.0
Kaitou Reinya,5.61,2010.0
Oh! Family,6.18,1986.0
Ikkitousen: Xtreme Xecutor,6.7,2010.0
Saraiya Goyou,7.74,2010.0
Mayoi Neko Overrun!,6.63,2010.0
Nurarihyon no Mago,7.6,2010.0
Kiss x Sis (TV),6.56,2010.0
Parasol Henbei,6.28,1989.0
Gegege no Kitarou (1996),6.79,1996.0
Yousei Dick,5.54,1992.0
Mitsudomoe,7.51,2010.0
The Arari Show,,2006.0
Shounen Santa no Daibouken!,,1996.0
Domo-kun,6.44,1999.0
Heartcatch Precure!,7.86,2010.0
Arakawa Under the Bridge,7.56,2010.0
Major S6,8.31,2010.0
Giant Killing,7.53,2010.0
Shinrei Tantei Yakumo,7.29,2010.0
Bakuman.,8.17,2010.0
Kyouryuu Wakusei,6.38,1993.0
Ookiku Furikabutte: Natsu no Taikai-hen,7.95,2010.0
Hipira-kun,6.07,2009.0
Shiki,7.71,2010.0
DigiGirl Pop!: Strawberry & Pop Mix Flavor,5.76,2003.0
Midnight Horror School,6.27,2003.0
Masuda Kousuke Gekijou: Gag Manga Biyori +,6.88,2010.0
Tantei Opera Milky Holmes,6.9,2010.0
Ookami-san to Shichinin no Nakama-tachi,7.15,2010.0
Andersen Monogatari (TV),6.22,1971.0
Yojouhan Shinwa Taikei,8.55,2010.0
K-On!!,8.18,2010.0
Ring ni Kakero 1: Shadow-hen,6.37,2010.0
Zukkoke Knight: Don De La Mancha,5.7,1980.0
B-gata H-kei,6.83,2010.0
Seton Doubutsuki,6.62,1989.0
Gon,5.99,2012.0
The Marshmallow Times,6.67,2004.0
Cybot Robocchi,5.98,1982.0
Pachislo Kizoku Gin,5.93,2001.0
Shin Obake no Q-tarou,5.86,1971.0
Obake no Q-tarou (1985),6.24,1985.0
Time Bokan Series: Gyakuten Ippatsuman,5.85,1982.0
Chi-Sui Maru,5.78,2010.0
Sennin Buraku,5.52,1963.0
Shin Koihime†Musou: Otome Tairan,6.93,2010.0
Karakuri Kengou Den Musashi Lord,6.03,1990.0
Highschool of the Dead,7.06,2010.0
Densetsu no Yuusha no Densetsu,7.49,2010.0
Cooking Papa,6.72,1992.0
Kuragehime,8.11,2010.0
Mighty Orbots,5.72,1984.0
Shin Minashigo Hutch,6.31,1974.0
Konchuu Monogatari Minashigo Hutch (1989),6.69,1989.0
Sockies: Frontier Quest,,2011.0
Gegege no Kitarou: Jigoku-hen,6.25,1988.0
Eagle Sam,,1983.0
Bouken Shounen Shadar,6.02,1967.0
Bouken Korobokkuru,5.87,1973.0
Bouken Gabotenjima,5.92,1967.0
The World of Golden Eggs,6.42,2005.0
Hoshi Shinichi Short Short,,2007.0
Akuma-kun,6.43,1989.0
Guruguru Town Hanamaru-kun,6.07,1999.0
Hime Chen! Otogi Chikku Idol Lilpri,6.95,2010.0
Hokahoka Kazoku,5.88,1976.0
Genji Tsuushin Agedama,6.52,1991.0
Aa Harimanada,6.17,1992.0
Jewelpet Twinkle☆,7.42,2010.0
Baby Felix,5.5,2000.0
Muumin,7.15,1969.0
Muumin (1972),6.56,1972.0
Anime Yasei no Sakebi,5.97,1982.0
Wanpaku Oomukashi Kum Kum,6.1,1975.0
Rio: Rainbow Gate!,5.83,2011.0
Keshikasu-kun,,2010.0
Hyakka Ryouran: Samurai Girls,6.74,2010.0
Ai no Senshi Rainbowman,6.25,1982.0
SD Gundam Sangokuden Brave Battle Warriors,6.26,2010.0
Tegamibachi Reverse,7.71,2010.0
Hanakappa,6.03,2010.0
Ukkari Pénélope,,2006.0
Ketsuinu,,2010.0
Shin Mitsubachi Maya no Bouken,6.42,1982.0
Chougattai Majutsu Robot Ginguiser,5.7,1977.0
Cyborg 009 (TV),6.81,1968.0
Sora no Otoshimono Forte,7.42,2010.0
Marie & Gali ver. 2.0,5.95,2010.0
Metal Fight Beyblade: Baku,7.07,2010.0
Oi! Ryouma,6.55,1992.0
MM!,7.01,2010.0
Gosick,8.04,2011.0
Hourou Musuko,7.68,2011.0
Animentary: Ketsudan,6.31,1971.0
Togainu no Chi,6.21,2010.0
Otome Youkai Zakuro,7.42,2010.0
Doubutsu Kankyou Kaigi,,2010.0
Chibikko Kaijuu Yadamon,,1967.0
Fushigi Mahou Fun Fun Pharmacy,7.07,1998.0
Baka to Test to Shoukanjuu Ni!,7.66,2011.0
Biriken,,1988.0
Biriken Nandemo Shoukai,,1989.0
Kami nomi zo Shiru Sekai,7.64,2010.0
Fortune Arterial: Akai Yakusoku,6.66,2010.0
Gokujou!! Mecha Mote Iinchou Second Collection,6.27,2010.0
Shin Ace wo Nerae!,6.75,1978.0
Time Bokan Series: Time Patroltai Otasukeman,6.26,1980.0
Shinryaku! Ika Musume,7.41,2010.0
Kotencotenco,,2005.0
Digimon Xros Wars,6.69,2010.0
Hidan no Aria,6.77,2011.0
Seitokai Yakuindomo,7.54,2010.0
Amagami SS,7.27,2010.0
Ryuuichi Manga Gekijou Onbu Obake,,1972.0
Doraemon (2005),7.74,2005.0
Soredemo Machi wa Mawatteiru,7.46,2010.0
Ultraman Kids: Haha wo Tazunete 3000-man Kounen,6.1,1991.0
Hajime Ningen Gyatoruz,6.15,1974.0
Hajime Ningen Gon,6.46,1996.0
Futarigurashi,5.74,1998.0
Ore no Imouto ga Konnani Kawaii Wake ga Nai,6.92,2010.0
Nobara no Julie,6.0,1979.0
Inakappe Taishou,6.26,1970.0
Panty & Stocking with Garterbelt,7.74,2010.0
Okawari-Boy Starzan-S,6.09,1984.0
Alice SOS,6.05,1998.0
Shounen Ashibe (TV),5.88,1991.0
Shounen Ashibe 2,5.76,1992.0
Kore wa Zombie desu ka?,7.32,2011.0
Chouriki Robo Galatt,6.11,1984.0
Yosuga no Sora,6.0,2010.0
Dolphin Ouji,,1965.0
Nippon-ichi no Otoko no Tamashii,5.9,1999.0
Nippon-ichi no Otoko no Tamashii 2,5.91,1999.0
Ganbare! Marine Kid,5.59,1966.0
Kaitei Shounen Marine,6.16,1969.0
Saru Getchu: On Air 2nd,5.87,2006.0
Dantalian no Shoka,7.22,2011.0
Mouretsu Pirates,7.13,2012.0
Star Driver: Kagayaki no Takuto,7.18,2010.0
Toaru Majutsu no Index II,7.51,2010.0
Denkou Chou Tokkyuu Hikarian,6.29,2002.0
MonHun Nikki Girigiri Airou Mura: Airou Kiki Ippatsu,5.9,2010.0
Tono to Issho: Ippunkan Gekijou,6.16,2010.0
Stitch!: Zutto Saikou no Tomodachi,6.08,2010.0
Kuruneko 2nd Season,6.98,2010.0
Obake no... Holly,5.96,1991.0
Edokko Boy: Gatten Tasuke,6.32,1990.0
IS: Infinite Stratos,6.6,2011.0
RPG Densetsu Hepoi,6.43,1990.0
Hakuouki: Hekketsuroku,7.55,2010.0
Oden-kun,,2005.0
Arakawa Under the Bridge x Bridge,7.71,2010.0
Nogsaegjeoncha Hamos,6.25,1998.0
Pokemon Best Wishes!,6.46,2010.0
Chirorin Mura Monogatari,6.68,1992.0
Tsuruhime Ja!,5.92,1990.0
Motto To LOVE-Ru,7.25,2010.0
Dae Jang Geum: Jang Geum's Dream 2,7.3,2007.0
Super Robot Taisen OG: The Inspector,7.21,2010.0
Steins;Gate,9.07,2011.0
Bakuhatsu Gorou,5.6,1970.0
Hanasaku Iroha,7.89,2011.0
Fractale,6.91,2011.0
Dragon Crisis!,6.6,2011.0
Yumekui Merry,6.89,2011.0
Gakkou no Kowai Uwasa Shin: Hanako-san ga Kita!!,6.13,2010.0
Battle Spirits: Brave,7.16,2010.0
Freezing,6.77,2011.0
Karl to Fushigi na Tou,,2010.0
Denpa Onna to Seishun Otoko,7.11,2011.0
Chie-chan Funsenki: Jarinko Chie,6.49,1991.0
Ginga Hyouryuu Vifam 13,6.41,1998.0
Miyanishi Tatsuya Gekijou: Omae Umasou da na,6.28,2010.0
Seupideuwang Beongae,6.16,1998.0
Pururun! Shizuku-chan,,2006.0
A-jang.com,5.67,2001.0
Rainbow Sentai Robin,5.93,1966.0
Yume-iro Pâtissière SP Professional,7.58,2010.0
Ninpen Manmaru,,1997.0
Coppelion,6.47,2013.0
Dororon Enma-kun Meeramera,6.44,2011.0
Mitsudomoe Zouryouchuu!,7.64,2011.0
Beelzebub,7.84,2011.0
Ichigo Ichie: Kimi no Kotoba,,2010.0
Zero Tester,6.03,1973.0
Zero Tester: Chikyuu wo Mamore!,5.85,1974.0
Pururun! Shizuku-chan Aha,,2007.0
Robin-kun to 100 nin no Otomodachi,,2010.0
Cardfight!! Vanguard,7.03,2011.0
Bucket de Gohan,,1996.0
Shokupan Mimi,5.65,2010.0
Tachumaru Gekijou,,2010.0
Oniichan no Koto nanka Zenzen Suki ja Nai n da kara ne!!,6.06,2011.0
Haiyoru! Nyaruani: Remember My Love(craft-sensei),6.23,2011.0
Big X,6.07,1964.0
30-sai no Hoken Taiiku,6.61,2011.0
Kakko Kawaii Sengen!,5.42,2010.0
Kimi ni Todoke 2nd Season,7.98,2011.0
Moshidora,6.86,2011.0
Maria†Holic Alive,6.94,2011.0
Astarotte no Omocha!,6.46,2011.0
Itsuka Tenma no Kuro Usagi,6.49,2011.0
Mahou Shoujo Madoka★Magica,8.38,2011.0
Shima Shima Tora no Shimajirou,5.93,1994.0
Hello Kitty no Stump Village,6.32,2005.0
A-Channel,6.92,2011.0
Hyouga Senshi Gaislugger,5.7,1977.0
Shin-Men,6.16,2010.0
Qin Shi Mingyue: Bai Bu Fei Jian,6.3,2007.0
Harimogu Harry,,1996.0
Nyani ga Nyandaa Nyandaa Kamen,6.86,2000.0
Hanasaka Tenshi Tenten-kun,,1998.0
Bit the Cupid,,1995.0
McDull: Chuntian Huahua Zhonghua Bowuguan,,2006.0
Level E,7.39,2011.0
Manga Nihon Emaki,,1977.0
SKET Dance,8.2,2011.0
Chou Supercar Gattiger,5.98,1977.0
High School Mystery: Gakuen Nanafushigi,6.39,1991.0
Osomatsu-kun (1988),6.8,1988.0
Osomatsu-kun,6.48,1966.0
Shin Bikkuriman,5.7,1989.0
Suite Precure♪,7.28,2011.0
Hamster Club,6.48,2000.0
Captain (TV),6.44,1983.0
Sue Cat,6.09,1980.0
Samurai Giants,6.42,1973.0
Ao no Exorcist,7.47,2011.0
Oretachi ni Tsubasa wa Nai: Under the Innocent Sky.,6.63,2011.0
Sekaiichi Hatsukoi,7.61,2011.0
Nekogami Yaoyorozu,6.61,2011.0
Maken-Ki!,6.3,2011.0
Ikoku Meiro no Croisée The Animation,7.41,2011.0
Tiger & Bunny,7.83,2011.0
Gintama',9.02,2011.0
Kyouryuu Tankentai Born Free,5.89,1976.0
Phi Brain: Kami no Puzzle,7.15,2011.0
Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai.,8.29,2011.0
Hyouge Mono,7.95,2011.0
Shouwa Monogatari,6.84,2011.0
Yu☆Gi☆Oh! Zexal,6.45,2011.0
Bakuman. 2nd Season,8.33,2011.0
Toriko,7.51,2011.0
Nurarihyon no Mago: Sennen Makyou,7.92,2011.0
Seikon no Qwaser II,6.28,2011.0
Hoshizora e Kakaru Hashi,6.67,2011.0
Kami nomi zo Shiru Sekai II,7.86,2011.0
Fate/Zero,8.27,2011.0
Softenni,6.48,2011.0
Mayo Chiki!,7.2,2011.0
Manga Hajimete Monogatari,6.17,1978.0
Manga Doushite Monogatari,6.12,1984.0
Manga Naruhodo Monogatari,,1986.0
Manga Hajimete Omoshiro Juku,6.42,1989.0
Dog Days,6.83,2011.0
Sacred Seven,6.58,2011.0
No.6,7.55,2011.0
Usagi Drop,8.32,2011.0
C: The Money of Soul and Possibility Control,7.14,2011.0
Nichijou,8.47,2011.0
DD Hokuto no Ken,6.06,2011.0
HenSemi (TV),6.49,2011.0
Nyanpire The Animation,6.64,2011.0
Bug tte Honey,6.34,1986.0
Maji de Watashi ni Koi Shinasai!,6.65,2011.0
"Yondemasu yo, Azazel-san. (TV)",7.5,2011.0
Kaitou Tenshi Twin Angel: Kyunkyun☆Tokimeki Paradise!!,6.07,2011.0
Uchuu Majin Daikengou,5.81,1978.0
Tamayura: Hitotose,7.32,2011.0
Ki-Fighter Taerang,,2002.0
Mayutoro The Toons,,2003.0
Sekai Monoshiri Ryoko,5.71,1971.0
Ton-Ton Atta to Niigata no Mukashibanashi,,2004.0
Ultra B,6.21,1987.0
Pretty Rhythm: Aurora Dream,7.43,2011.0
Gyakkyou Burai Kaiji: Hakairoku-hen,8.24,2011.0
The iDOLM@STER,7.6,2011.0
Manga Nippon Mukashibanashi,6.07,1975.0
Sengoku Otome: Momoiro Paradox,6.53,2011.0
Chou Dendou Robo Tetsujin 28-gou FX,6.25,1992.0
Uta no☆Prince-sama♪ Maji Love 1000%,7.01,2011.0
Tono to Issho: Gantai no Yabou,6.38,2011.0
Last Exile: Ginyoku no Fam,7.06,2011.0
Honto ni Atta! Reibai Sensei,6.48,2011.0
Ring ni Kakero 1: Sekai Taikai-hen,6.36,2011.0
Happy Kappy,5.44,2011.0
Fireball Charming,6.79,2011.0
Suzy's Zoo: Daisuki! Witzy,5.94,2011.0
Jinrui wa Suitai Shimashita,7.7,2012.0
Jewelpet Sunshine,6.66,2011.0
Kinniku Banzuke: Kongou-kun no Daibouken!,4.99,2001.0
Metal Fight Beyblade 4D,7.08,2011.0
Kamisama Dolls,6.98,2011.0
Shinryaku!? Ika Musume,7.47,2011.0
Natsume Yuujinchou San,8.56,2011.0
Ben-To,7.18,2011.0
Mashiro-iro Symphony: The Color of Lovers,7.01,2011.0
Digimon Xros Wars: Aku no Death General to Nanatsu no Oukoku,7.1,2011.0
Aquarion Evol,7.07,2012.0
Kyoukaisenjou no Horizon,7.0,2011.0
Puu-Neko,5.69,2011.0
Kimi to Boku.,7.64,2011.0
Manyuu Hikenchou,6.18,2011.0
Blood-C,6.53,2011.0
Yuru Yuri,7.56,2011.0
Shiawase Haitatsu Taneko,,2011.0
Inazuma Eleven Go,7.03,2011.0
Usavich IV,6.56,2011.0
Working'!!,7.81,2011.0
Duel Masters Victory,5.76,2011.0
Shinseiki Duel Masters Flash,5.65,2006.0
Duel Masters Zero,5.94,2007.0
Duel Masters Cross,6.24,2008.0
Duel Masters Cross Shock,6.15,2010.0
Fujilog,5.57,2011.0
Genki!! Ekoda-chan,5.76,2011.0
Shuukan Shimakou,,2011.0
Yakyuukyou no Uta,6.51,1978.0
Machine Hayabusa,6.17,1976.0
Kamisama no Memochou,7.46,2011.0
Ro-Kyu-Bu!,6.75,2011.0
C³,6.56,2011.0
Persona 4 the Animation,7.52,2011.0
Rerere no Tensai Bakabon,6.08,1999.0
R-15,6.4,2011.0
Mirai Nikki (TV),7.38,2011.0
Hayan Ma-eum Baeggu,6.4,2000.0
Shiodome Cable TV,,2011.0
Morita-san wa Mukuchi.,6.49,2011.0
Yasai no Yousei: N.Y.Salad,,2007.0
Yasai no Yousei: N.Y.Salad 2nd Series,,2008.0
Manga Nihon Keizai Nyuumon,,1987.0
Boku wa Tomodachi ga Sukunai,7.13,2011.0
Mawaru Penguindrum,7.92,2011.0
Soccer Fever,6.32,1994.0
Kore wa Zombie desu ka? of the Dead,7.47,2012.0
Guilty Crown,7.39,2011.0
Kayoe! Chuugaku,,2011.0
Un-Go,7.32,2011.0
Chihayafuru,8.17,2011.0
MonHun Nikki Girigiri Airou Mura G,5.88,2011.0
Kidou Senshi Gundam AGE,6.47,2011.0
Pucca (TV) 2nd Season,6.66,2008.0
