year,anime_count,mean_score
1961.0,1,6.08
1962.0,1,6.04
1963.0,5,6.148
1964.0,4,5.966666666666666
1965.0,12,5.945555555555556
1966.0,11,5.9887500000000005
1967.0,15,6.317
1968.0,14,6.411818181818182
1969.0,16,6.542727272727273
1970.0,17,6.507777777777778
1971.0,16,6.257142857142857
1972.0,15,6.352727272727273
1973.0,18,6.35
1974.0,22,6.34578947368421
1975.0,21,6.52
1976.0,25,6.346818181818182
1977.0,27,6.443333333333334
1978.0,22,6.9625
1979.0,25,6.599166666666666
1980.0,28,6.6328
1981.0,30,6.715172413793104
1982.0,29,6.6107407407407415
1983.0,37,6.704722222222222
1984.0,37,6.5058823529411764
1985.0,20,6.867368421052631
1986.0,27,6.7264
1987.0,30,6.6736
1988.0,38,6.62060606060606
1989.0,38,6.767647058823529
1990.0,29,6.76304347826087
1991.0,39,6.752424242424243
1992.0,44,6.6891428571428575
1993.0,23,7.105714285714286
1994.0,37,6.799090909090909
1995.0,41,7.1055882352941175
1996.0,40,7.245294117647059
1997.0,46,6.740975609756098
1998.0,80,6.726901408450704
1999.0,93,6.725113636363636
2000.0,61,6.8167857142857144
2001.0,95,6.708333333333333
2002.0,92,6.832560975609756
2003.0,112,6.745238095238095
2004.0,131,6.837107438016528
2005.0,121,6.9703669724770645
2006.0,194,6.8776829268292685
2007.0,164,7.016911764705882
2008.0,159,7.056666666666667
2009.0,163,7.0691999999999995
2010.0,141,6.994311926605505
2011.0,189,6.919931034482759
2012.0,187,7.049261744966443
2013.0,223,6.812817679558011
2014.0,241,6.796634615384615
2015.0,247,6.75925
2016.0,283,6.677327586206897
2017.0,281,6.607727272727273
2018.0,281,6.809301310043668
2019.0,229,6.8026136363636365
2020.0,220,6.789825581395348
2021.0,245,6.8950761421319795
2022.0,236,6.9742408376963345
2023.0,285,7.031909090909091
2024.0,284,7.054888888888889
2025.0,295,6.947413793103448
2026.0,94,
2027.0,2,
